schema_name,table_name,index_name,type_desc,is_unique,is_primary_key,is_unique_constraint,key_ordinal,column_name,is_included_column
dbo,_blk,IX__blk,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_blk,IX__blk,NONCLUSTERED,1,0,1,2,BlockName,0
dbo,_blk,PK__blk,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_clnt,IX__clnt,NONCLUSTERED,1,0,0,1,CLNT_ID,0
dbo,_clnt,PK__clnt,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_clnt__fieldData,IX__clnt__fieldData,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_clnt__fieldData,IX__clnt__fieldData,NONCLUSTERED,1,0,1,2,TableID,0
dbo,_clnt__fieldData,IX__clnt__fieldData,NONCLUSTERED,1,0,1,3,FieldID,0
dbo,_clnt__fieldData,IX__clnt__fieldData_DisplayName,NONCLUSTERED,1,0,0,1,TableID,0
dbo,_clnt__fieldData,IX__clnt__fieldData_DisplayName,NONCLUSTERED,1,0,0,2,CLNT_ID,0
dbo,_clnt__fieldData,IX__clnt__fieldData_DisplayName,NONCLUSTERED,1,0,0,3,DisplayName,0
dbo,_clnt__fieldData,PK__clnt__fieldData,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_clnt__tableData,IX__clnt__tableData,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_clnt__tableData,IX__clnt__tableData,NONCLUSTERED,1,0,1,2,TableID,0
dbo,_clnt__tableData,IX__clnt__tableData_DisplayName,NONCLUSTERED,1,0,0,1,CLNT_ID,0
dbo,_clnt__tableData,IX__clnt__tableData_DisplayName,NONCLUSTERED,1,0,0,2,DisplayName,0
dbo,_clnt__tableData,PK__clnt__tableData,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_db,IX__db,NONCLUSTERED,0,0,0,1,ID,0
dbo,_db,PK__db,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_desx,IX__desx,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_desx,IX__desx,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_desx,PK__desx,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_dwg,IX__dwg,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_dwg,IX__dwg,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_dwg,IX__dwg,CLUSTERED,1,0,1,3,NAME,0
dbo,_dwg,PK__dwg,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,_ent,IX__ent,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_ent,IX__ent,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_ent,IX__ent,NONCLUSTERED,1,0,1,3,EntityName,0
dbo,_ent,IX__ent,NONCLUSTERED,1,0,1,4,TableID,0
dbo,_ent,PK__ent,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_feature,IX__feature,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_feature,IX__feature,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_feature,IX__feature,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,_feature,PK__feature,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_fieldData,IX__fieldData,NONCLUSTERED,1,0,1,1,TableID,0
dbo,_fieldData,IX__fieldData,NONCLUSTERED,1,0,1,2,FieldID,0
dbo,_fieldData,IX__fieldData_DisplayName,NONCLUSTERED,1,0,1,1,TableID,0
dbo,_fieldData,IX__fieldData_DisplayName,NONCLUSTERED,1,0,1,2,DisplayName,0
dbo,_fieldData,IX__fieldData_FieldName,NONCLUSTERED,1,0,1,1,TableID,0
dbo,_fieldData,IX__fieldData_FieldName,NONCLUSTERED,1,0,1,2,FieldName,0
dbo,_fieldData,PK__fieldData,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_gph,IX__gph,NONCLUSTERED,1,0,1,1,TableName,0
dbo,_gph,PK__gph,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_layer,IX__layer,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,_layer,IX__layer,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,_layer,IX__layer,NONCLUSTERED,1,0,1,3,NAME,0
dbo,_layer,PK__layer,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,_lut_flds,IX__lut_flds,NONCLUSTERED,1,0,1,1,TableName,0
dbo,_lut_flds,IX__lut_flds,NONCLUSTERED,1,0,1,2,FieldName,0
