schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,default_definition,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column
dbo,_blk,1,GEO_ID,uniqueidentifier,16,0,0,0,(newid()),1,NULL,NULL,NULL,NULL
dbo,_blk,2,CLNT_ID,nvarchar,40,0,0,0,NULL,0,FK__blk__clnt,dbo,_clnt,CLNT_ID
dbo,_blk,2,CLNT_ID,nvarchar,40,0,0,0,NULL,0,FK__blk_PROJECT,dbo,PROJECT,CLNT_ID
dbo,_blk,3,PROJ_ID,nvarchar,40,0,0,0,NULL,0,FK__blk_PROJECT,dbo,PROJECT,PROJ_ID
dbo,_blk,4,BlockName,nvarchar,100,0,0,0,NULL,0,NULL,NULL,NULL,NULL
dbo,_blk,5,BlockDesc,nvarchar,510,0,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_blk,6,BlockSpec,nvarchar,-1,0,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt,1,GEO_ID,uniqueidentifier,16,0,0,0,(newid()),1,NULL,NULL,NULL,NULL
dbo,_clnt,2,CLNT_ID,nvarchar,40,0,0,0,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt,4,Name,nvarchar,200,0,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt,6,KML,varchar,-1,0,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt,9,EnforceDB,bit,1,1,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt,10,Description,nvarchar,510,0,0,1,NULL,0,NULL,NULL,NULL,NULL
dbo,_clnt__fieldData,1,GEO_ID,uniqueidentifier,16,0,0,0,(newid()),1,NULL,NULL,NULL,NULL
dbo,_clnt__fieldData,2,CLNT_ID,nvarchar,40,0,0,0,NULL,0,FK__clnt__fieldData__clnt,dbo,_clnt,CLNT_ID
dbo,_clnt__fieldData,3,TableID,int,4,10,0,0,NULL,0,FK__clnt__fieldData__fieldData,dbo,_fieldData,TableID
